location_city,location_name,location_street_address,location_street_address_2,location_state,location_zip_code,region,logged_at
Lansing,Denny's Auto Diagnosis,2738 N Grand River Ave,,MI,48906,LAN,2017-11-29 21:31:17
Riverdale,Elks - Hyattsville,6700 Kenilworth Ave,,MD,20737,DCA,2017-11-29 21:31:19
Grand Rapids,Jack's Service Center,850 Leonard St NW,,MI,49504,GRR,2017-11-29 21:31:17
Tampa,Pep Boys - Gunn Hwy,6022 Gunn Hwy,,FL,33624,TPA,2017-11-29 21:31:11
Kingman,Midtown Auto Center,2790 Airway Avenue,,AZ,86409,LAB,2017-11-29 21:31:25
El Cajon,Pep Boys El Cajon,201 Jamacha Rd,,CA,92019,SAN,2017-11-29 21:31:12
Alexandria,Wiygul Automotive - Lane Dr.,6001 Lane Dr,,VA,22304,DCA,2017-11-29 21:31:18
Apple Valley,Midas Apple Valley,15455 South Cedar Avenue,,MN,55124,MSP,2017-08-24 15:25:44
Clovis,Jiffy Lube - Fresno,240 W Ashlan Ave,,CA,93612,FAT,2017-05-09 20:01:06
GREENVILLE,National Tire & Battery Greenville - Chalmers Rd,108 CHALMERS ROAD,,SC,29605,GSP,2017-11-29 21:31:23
Elk Grove,Elk Grove - Goodyear,8922 Elk Grove Blvd,,CA,95624,SMF,2017-11-29 21:31:26
Inglewood,Pep Boys Spruce Ave,200 E Spruce Ave,,CA,90301,LAX,2017-11-29 21:31:28
COLORADO SPRINGS,TECHNET Colorado Springs - Eagle Tire,1985 B St,,CO,80906,COS,2017-11-29 21:31:30
Bellflower,Pep Boys - Artesia Blvd,8533 Artesia Blvd,,CA,90706,LAX,2017-11-29 21:31:30
Breckenridge,Residence Inn Marriott Breckenridge,600 South Ridge Street,,CO,80424,VBC,2017-11-29 21:31:22
Lombard,Pep Boys Lombard,851 E Roosevelt Rd,,IL,60148,CHI,2017-11-29 21:31:11
Folsom,Folsom - Big O Tires,185 Blue Ravine Road,,CA,95630,SMF,2017-11-29 21:31:28
Ann Arbor,Belle Tire (Ann Arbor - W. Ellsworth Rd.),590 W Ellsworth Road,,MI,48108,ARB,2017-11-29 21:31:19
Apple Valley,Midas - Apple Valley (NO LYFT REP.),15455 South Cedar Avenue,,MN,55124,MSP,2017-11-29 21:31:26
GREENVILLE,National Tire & Battery Greenville - White Horse Rd,6141 WHITE HORSE RD,,SC,29611,GSP,2017-11-29 21:31:30
Colorado Springs,432 W. Garden of the Gods Road,432 W. Garden of the Gods Road,,CO,80907,COS,2017-07-26 18:28:41
Taylors,(864) 558-2173,2918 Wade Hampton Boulevard,,SC,29687,GSP,2017-07-26 22:24:08
Fairfield,Meineke Car Care Center - Fairfield,1525-B Holiday Lane,,CA,94534,STS,2017-05-10 23:22:48
Ventura,Pep Boys - Thompson Blvd,2705 E Thompson Blvd,,CA,93003,OXR,2017-09-15 22:04:06
Detroit,Hawthorn Suites By Wyndham Dearborn/Detroit MI,5777 Southfield Freeway,,MI,48228,DTW,2017-03-16 13:38:02
Stockton,Pep Boys -- South Stockton,845 Dr M.L.K. Jr Blvd,,CA,95206,SCK,2017-03-24 21:41:10
N Little Rock,Pep Boys - N Little Rock,4228 E Mccain Blvd,,AR,72117,LIT,2017-11-29 21:31:25
Palatine,Pep Boys - Palatine,315 W Northwest Hwy,,IL,60067,CHI,2017-11-29 21:31:27
Pullman,Pro Tech Auto Repair,1200 SE Latah St,,WA,99163,PUW,2017-11-29 21:31:19
Westchester,Pep Boys - Manchester Ave,6136 W Manchester Ave,,CA,90045,LAX,2017-11-29 21:31:30
Grands Rapids,Pep Boys Auto Parts & Service,3737 Alpine Ave NW,,MI,49321,GRR,2017-11-29 21:31:29
Fayetteville,Firestone,2876 E. Mission Blvd,,AR,72703,XNA,2017-11-29 21:31:31
Santa Fe,Automotive Resources,827 Cam De Monte Rey,,NM,87505,SAF,2017-11-29 21:31:07
Spokane Valley,Clark's Tire & Automotive,16010 E Sprague Ave,,WA,99037,GEG,2017-11-29 21:31:31
Plantation,The V Shop,1391 NW 65th Terrace,,FL,33313,MIA,2017-11-29 21:31:20
Kitchener,AAMCO of Kitchener,227 Manitou Drive,,ON,N2C 1L4,YTZ,2017-11-29 21:31:34
Saginaw,Rick's Automotive,1935 E Genesee Ave,,MI,48601,MBS,2017-11-29 21:31:18
Union,Pep Boys - Union NJ,2525 RT 22 WEST,,NJ,7083,NYC,2017-11-29 21:31:12
Temple Hills,Pep Boys - Marlow Heights,4500 St Barnabas Rd,,MD,20748,DCA,2017-11-29 21:31:12
Chicago,Chicago Hub,3976 N. Avondale Ave.,,IL,60641,CHI,2017-12-02 17:36:46
Albuquerque,6632 Caminito Coors NW,6632 Caminito Coors NW,,NM,87120,ABQ,2017-07-26 18:00:02
Niles,Pep Boys Niles (new),9643.5 N Milwaukee Ave.,,IL,60714,CHI,2017-08-17 20:38:24
San Jose,Pep Boys Auto Parts & Service,3780 Stevens Creek Boulevard,,CA,95117,CRZ,2017-03-27 18:40:45
Ann Arbor,Belle Tire Ann Arbor Washtenaw Ave,3501 Washtenaw Avenue,,MI,48104,ARB,2017-04-13 17:44:12
Grand Island,Personal Automotive Services,2404 W Old Lincoln Hwy,,NE,68803,WNE,2017-11-29 21:31:26
North Miami Beach,DJ Auto Collision Center,17080 NW 3rd Ave,,FL,33169,MIA,2017-11-29 21:31:17
East Brunswick,Pep Boys - East Brunswick NJ,575 NJ-18 South,,NJ,8816,NYC,2017-11-29 21:31:15
Downey,Pep Boys - Lakewood,10231 Lakewood Blvd,,CA,90241,LAX,2017-11-29 21:31:32
Cerritos,Cerritos,11944 South St,,CA,90703,OCX,2017-11-29 21:31:07
BIRMINGHAM,National Tire & Battery Birmingham - Gadsden Hwy,330 GADSDEN HIGHWAY,,AL,35235,BHM,2017-11-29 21:31:20
Morgan Hill,Big O Tires - Morgan Hill,15745 Monterey Rd,,CA,95037,SCK,2017-11-29 21:31:20
Rogers,Johns Auto Repair,730 W Laurel Cir,,AR,72758,XNA,2017-11-29 21:31:31
Niles,Pep Boys Niles,9643.5 N Milwaukee Ave.,,IL,60714,CHI,2017-11-29 21:31:10
Santa Barbara,Jiffy Lube - Santa Barbara,932 De La Vina St,,CA,93101,SBA,2017-11-29 21:31:27
Olympia,Meineke,517 4th Ave,,WA,98501,KLS,2017-11-29 21:31:16
Minneapolis,Bobby & Steve's - Minneapolis (NO LYFT REP.),1221 Washington Avenue S.,,MN,55415,MSP,2017-08-24 19:52:20
Alexandria,Wiygul Automotive - 6001 Lane Dr Alexandria,6001 Lane Dr,,VA,22304,DCA,2017-04-12 19:08:50
San Diego,Miramar,8999 Activity Rd,,CA,92126,SAN,2017-08-16 22:03:21
Manteca,Jiffy Lube - Manteca,1130 N Main St,,CA,95336,SCK,2017-09-26 19:26:12
Las Vegas,Las Vegas Local Office,7255 South Tenaya Way,,NV,89113,ENV,2017-12-05 01:37:32
Stockton,Les Schwab Tire Center - Stockton (Charter Way),1717 W Charter Way,,CA,95206,SCK,2017-05-10 01:45:46
Miami,Advanced Auto Diagnostic II,1779 W Flagler St,,FL,33135,MIA,2016-11-17 19:22:21
Oak Lawn,Pep Boys Oak Lawn,4143 W. 95th St.,,IL,60453,CHI,2017-11-29 21:31:11
Bowling Green,Lee Myles Transmissions & AutoCare,945 US-31 BYP,,KY,42101,BWG,2017-11-29 21:31:29
Vallejo,Les Schwab Tire Center - Vallejo,3301 Sonoma Blvd,,CA,94590,STS,2017-11-29 21:31:21
Hackensack,Pep Boys - Hackensack NJ,65 Court St,,NJ,7601,NYC,2017-11-29 21:31:17
Hot Springs,Sears Auto Center,4501 Centeral Ave 101,,AR,71913,LIT,2017-11-29 21:31:31
King City,Tire King & Auto Express - King City,112 1st St,,CA,93930,MRY,2017-11-29 21:31:26
MARQUETTE,SOUTHSIDE AUTOMOTIVE INC,260-200 Oakbrook Ln,,MI,49855,MQT,2017-11-29 21:31:15
Saline,Bill Crispin Chevrolet,7112 E Michigan Ave,,MI,48176,ARB,2017-11-29 21:31:24
Greenville,National Tire & Battery Greenville - Woodruff Rd,1503 WOODRUFF ROAD,,SC,29607,GSP,2017-11-29 21:31:25
Castle Rock,Douglas County Fair Grounds  - Kirk Hall,500 Fairgrounds Rd,,CO,80104,DEN,2017-11-29 21:31:34
Benicia,Big O Tires - Benicia,415 Military E,,CA,94510,STS,2017-11-29 21:31:24
Lakewood,Pep Boys - S. Wadsworth Blvd,5134 S. Wadsworth Blvd,,CO,80123,DEN,2017-11-29 21:31:23
Arroyo Grande,Jiffy Lube - Arroyo Grande,495 E Grand Ave,,CA,93420,SBP,2017-11-29 21:31:27
Vallejo,Jiffy Lube - Vallejo,4300 Sonoma Blvd,,CA,94589,STS,2017-11-29 21:31:21
Mobile,AAMCO Mobile - Hillcrest Rd,940 Hillcrest Road,,AL,36695,MOB,2017-11-29 21:31:23
